source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,12804.66,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,5861.21,Electricity,#00BFFF,TWh
Solar,Elec,1455.46,Solar,#FFFF00,TWh
Solar,Heat,449.98,Solar,#FFFF00,TWh
Elec,Export,36.10,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,4630.58,Electricity,#00BFFF,TWh
HPs,Heat,17435.24,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2302.36,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,2198.28,Heat LT,#FA8072,TWh
Dec. Sto,Losses,104.08,Heat,#708090,TWh
Heat,Heat LT Dec,15582.86,Heat,#FA8072,TWh
